ID,Adresse,Bilder,Features,From,Grundgriss,Grundstück,Haus/Wohnung,Kaltmiete,Kaufpreis,Lat,Lon,Miete/Kauf,PLZ,Stadt,Stadtteil,Titel,Wohnfläche,Zimmer,von privat,From_UUID
50230763,"Grillparzerstraße 46, Cotta, Dresden",1,"[Balkon/Terrasse, Garten]",Herr Petkow,False,,Wohnung,250 €,,51.05364,13.68193,Miete,01157,Dresden,Cotta,Hochwertig sanierte 2-Raum-Wohnung,47 m²,2,True,cdfeeba2-4ac4-3a54-b9a9-b1ed3d5d1e62
51346504,"Striesen-West, Dresden",2,"[Balkon/Terrasse, Garten]",Frau Ines Griese,True,,Wohnung,"276,85 €",,,,Miete,01309,Dresden,Striesen-West,1-Zimmer-Wohnung mit Balkon in ruhiger Lage von Striesen gesucht?,"39,55 m²",1,False,788834da-9717-30d8-9121-1e732b4ca677
51419136,"Trachenberger Straße 14, Pieschen-Nord/Trachenberge, Dresden",7,[],Frau Juliane  Börner,False,,Wohnung,465 €,,51.08362,13.72738,Miete,01129,Dresden,Pieschen-Nord/Trachenberge,Wunderschöne 3-Zimmer-Wohnung in Trachau,"74,99 m²",3,False,03fc1324-07cf-3891-bb3a-ed060b44f3e4
51494734,"Sachsdorfer Straße 8, Cotta, Dresden",8,"[Balkon/Terrasse, Einbauküche]",Frau M. Müller,True,,Wohnung,560 €,,51.05147,13.69111,Miete,01157,Dresden,Cotta,Exklusive 2-Zi.-Wohnung in zentraler Lage,"69,43 m²",2,False,9006fd9e-e9fb-3f05-a584-b641c55f5f5f
51761276,"Katharinenstraße 12, Äußere Neustadt (Antonstadt), Dresden",6,[Garten], ImmPrima GmbH Katja Bärisch,True,,Wohnung,350 €,,51.06623,13.74882,Miete,01099,Dresden,Äußere Neustadt (Antonstadt),schöne Single-Wohnung mitten in der Neustadt,42 m²,2,False,c6fc9057-4740-3d1e-a735-3cc63e644a0f
51870915,"Frankenstr. 17, Striesen-Ost, Dresden",8,[Balkon/Terrasse],Frau Petra Friedrich,True,,Wohnung,498 €,,51.04957,13.79406,Miete,01309,Dresden,Striesen-Ost,Helle 3 Zimmer Familienwohnung in Dresden Striesen,"76,61 m²",3,False,99253c7a-9180-3993-8040-cb39e1ab7ee8
52372720,"Troppauer Straße 6, Laubegast, Dresden",1,[Balkon/Terrasse],Frau Pilz,True,,Wohnung,506 €,,51.02737,13.83094,Miete,01279,Dresden,Laubegast,schöne große 2-Raumwohnung unterm Dach mit Loggia,"68,55 m²",2,False,b55bf1ac-7688-31d1-90b1-2e28e6b2cd04
53658913,"Laasackerweg, Strehlen, Dresden",3,"[Provisionsfrei*, Balkon/Terrasse, Garten]",Herr E Dr. Müller-Hermann,True,,Wohnung,,128.000 €,51.02046,13.77059,Kauf,01219,Dresden,Strehlen,Top 3-Zimmer Wohnung mit TG,"62,5 m²",3,True,d5e4597f-41fb-30cf-b039-35f9ce558fd9
53850705,"Burgsdorffstr. 11, Trachau, Dresden",6,[Einbauküche],Herr Andreas Nitsche,False,,Wohnung,260 €,,51.09306,13.71812,Miete,01129,Dresden,Trachau,2-Raum-Wohnung im Souterrain eines MfH,"55,5 m²",2,True,bf57ec1d-1c87-36da-bcd9-67add1164a72
54289042,"Tolkewitz/Seidnitz-Nord, Dresden",4,"[Balkon/Terrasse, Garten]",Frau Ines Griese,True,,Wohnung,"343,04 €",,,,Miete,01279,Dresden,Tolkewitz/Seidnitz-Nord,Gemütliche 2-Zimmer-Wohnung mit Balkon in DD-Tolkewitz gesucht?,"53,6 m²",2,False,788834da-9717-30d8-9121-1e732b4ca677
54325781,"Bachmannstraße 4, Bühlau/Weißer Hirsch, Dresden",3,[Balkon/Terrasse],Frau Stefanie Alschwee,True,,Wohnung,500 €,,51.06152,13.84164,Miete,01324,Dresden,Bühlau/Weißer Hirsch,idyllisch & hell:  2 -Zimmer -Wohnung m. gr.Südbalkon in absolut ruhiger Villenlage von Bühlau,53 m²,2,False,0c0560d2-51cf-3a38-8175-142d49e8d422
54340157,"Klotzsche, Dresden",3,[Einbauküche],Frau Katrin Hähle,True,,Wohnung,,79.500 €,,,Kauf,01109,Dresden,Klotzsche,Ruhige Lage mit Blick in die Gärten,45 m²,2,False,03269460-a660-348e-8f91-01f8d6596cd2
54340291,"Klotzsche, Dresden",7,[Einbauküche],Frau Katrin Hähle,True,,Wohnung,,75.000 €,,,Kauf,01109,Dresden,Klotzsche,Klotzsche-Königswald - vermietet!,"45,03 m²",2,False,03269460-a660-348e-8f91-01f8d6596cd2
54479327,"Anna-Angermann-Straße 8, Loschwitz/Wachwitz, Dresden",17,"[Balkon/Terrasse, Einbauküche]",Herr Heinz Kossler,True,,Wohnung,1.290 €,,51.04734,13.82063,Miete,01326,Dresden,Loschwitz/Wachwitz,Gepflegtes Ambiente in Bestlage an der Elbe,130 m²,4,True,4dfa9707-2eb4-383a-aeae-fa2c4d400354
54635819,"Schaufußstr. 40, Blasewitz, Dresden",6,[Garten],Frau Claudia Friedrich,True,,Wohnung,330 €,,51.038,13.81017,Miete,01277,Dresden,Blasewitz,gepflegter Altbau in Elbnähe mit gr. Gemeinschaftsgarten,"57,13 m²",2,True,663d7561-0243-3eff-bd03-2980c7710f12
55025747,"Tharandterstr. 47, Löbtau-Süd, Dresden",16,"[Einbauküche, Garten]",Herr Achim Schwarz,True,,Wohnung,335 €,,51.03547,13.70449,Miete,01159,Dresden,Löbtau-Süd,"2 Raum Wohnung, Prov.frei, 1.Km zur Uni , mit Einbauküche",56 m²,2,True,78f99b96-d3f4-3d89-8780-c02342ce26aa
55065424,"Troppauer Str.  19, Laubegast, Dresden",4,[Einbauküche],Frau Pilz,True,,Wohnung,250 €,,,,Miete,01279,Dresden,Laubegast,Singles aufgepasst! schöne 2-Raumwohnung unterm Dach,"33,66 m²",2,False,b55bf1ac-7688-31d1-90b1-2e28e6b2cd04
55085623,"Gönnsdorf/Pappritz, Dresden",3,[Provisionsfrei*],Herr Mario Batz,False,500 m²,Haus,,272.320 €,,,Kauf,01009,Dresden,Gönnsdorf/Pappritz,Die neue Generation: Passivhäuser von Bien-Zenker,128 m²,5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
55085707,"Klotzsche, Dresden",3,[Provisionsfrei*],Herr Mario Batz,False,500 m²,Haus,,262.600 €,,,Kauf,01309,Dresden,Klotzsche,Die neue Generation: Passivhäuser von Bien-Zenker,128 m²,5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
55085720,"Löbtau-Süd, Dresden",3,[Provisionsfrei*],Herr Mario Batz,False,370 m²,Haus,,194.990 €,,,Kauf,01189,Dresden,Löbtau-Süd,Käufer für ein wunderschönes Eigenheim in DD-Löbtau gesucht,124 m²,5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
55085784,"Talstraße, Cossebaude/Mobschatz/Oberwartha, Dresden",2,[Provisionsfrei*],Herr Mario Batz,False,660 m²,Haus,,179.990 €,51.08026,13.618,Kauf,01156,Dresden,Cossebaude/Mobschatz/Oberwartha,Preisgünstiges Niedrigenergiehaus in Cossebaude,125 m²,5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
55374838,"Pieschen-Nord/Trachenberge, Dresden",11,"[Balkon/Terrasse, Einbauküche]",Herr Christoph Käsemodel,True,,Wohnung,,149.000 €,,,Kauf,01129,Dresden,Pieschen-Nord/Trachenberge,Qualität aus zweiter Hand - Maisonette in Dresden-Pieschen,"91,1 m²",3,False,cda08f67-a92e-3dae-997a-9747dbfaac85
55983890,"Malterstraße 59, Löbtau-Süd, Dresden",3,"[Einbauküche, Garten]",Herr Elmar Eckhardt,True,,Wohnung,335 €,,51.03923,13.69197,Miete,01159,Dresden,Löbtau-Süd,WG geeignet - Modernes Wohnen in Gründerzeit-Villa!,52 m²,2,False,55297372-cec3-3623-ae1f-a40bfeca3814
56267123,"Bühlau/Weißer Hirsch, Dresden",2,[Balkon/Terrasse], Haase & Kollegen Immobilenmakler,False,,Wohnung,,199.000 €,,,Kauf,01324,Dresden,Bühlau/Weißer Hirsch,Haase & Kollegen:süße 2-Zimmer-Dachgeschoß-Wohnung im Denkmal mit Blick auf Dresden,55 m²,2,False,58a9153b-da76-3cc9-bda7-289d8b3d7ecf
56591695,"Klosterteichplatz 6, Leubnitz-Neuostra, Dresden",5,"[Balkon/Terrasse, Garten]",Herr Lutz Vehmann,True,,Wohnung,498 €,,51.012,13.76494,Miete,01219,Dresden,Leubnitz-Neuostra,2 Raum Wohnung,70 m²,2,True,6c46ae37-fe45-354e-b6c1-2ea045d2c9cf
56882430,"Schäferstraße 25, Friedrichstadt, Dresden",4,[],Frau Heike Lehmann,True,,Wohnung,250 €,,51.05538,13.71776,Miete,01067,Dresden,Friedrichstadt,STUDENTEN aufgepasst WG geeignete 3 Zimmer - Wohnung in zentraler Lage,"60,56 m²",3,False,f3635b51-8b6a-3bd4-8e76-58a7653963a8
56933039,"Louisenstraße 33, Äußere Neustadt (Antonstadt), Dresden",8,"[Balkon/Terrasse, Einbauküche]",Frau Nicole Blum,True,,Wohnung,330 €,,51.06724,13.75105,Miete,01099,Dresden,Äußere Neustadt (Antonstadt),1 Zi-DG-Wohnung -möbliert- Neustadt /Ideal f Singles + Wochenend-Heimfahrer,20 m²,1,True,9c8765d1-810b-3e35-84fc-cde2bacbaff0
57345505,"Hellerau/Wilschdorf, Dresden",1,[Provisionsfrei*],Herr Mario Batz,False,600 m²,Haus,,199.332 €,,,Kauf,01109,Dresden,Hellerau/Wilschdorf,Bien-Zenker-Aktionshaus in Hellerau,122 m²,4,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
57422387,"Altenberger Straße 11, Blasewitz, Dresden",6,[Garten],Frau Cornelia Walther,True,,Wohnung,370 €,,51.04232,13.80679,Miete,01277,Dresden,Blasewitz,Gemütliche helle 2RWE!,"57,44 m²",2,False,deec3f7a-e578-39b3-8ece-94d17a8d4ad7
57578579,"Semmelweisstraße  2, Friedrichstadt, Dresden",9,[Balkon/Terrasse],Herr Jens Wustmann,True,,Wohnung,416 €,,51.05131,13.70696,Miete,01159,Dresden,Friedrichstadt,Helle 3 Raum Wohnung mit kleinen Balkon im 2. OG re zu vermieten,"69,86 m²",3,False,4692da41-d1e4-3fd8-8c70-e7ded7b46524
58257738,"Gorbitz-Süd, Dresden",10,"[Balkon/Terrasse, Garten]",Herr Rolf Fritzsche,True,,Wohnung,345 €,,,,Miete,01169,Dresden,Gorbitz-Süd,"Excl. Zwei-Zimmer-Wohnung m. Gartenbenutzung in ruhiger Lage, stilvolle Architektur","56,23 m²",2,True,7cfe0e94-bbac-37ef-9cf7-417ec0b78ddc
58447439,"Schaufussstraße  27, Blasewitz, Dresden",10,[], CENTURION Invest & Projekt- gesellschaft mbH & Co. KG,True,,Wohnung,380 €,,51.03849,13.81119,Miete,01277,Dresden,Blasewitz,Schicke 2 RWE in super Lage!,54 m²,2,False,0f461593-222f-327a-b291-d292ba9d5ec5
58684934,"Holbeinstr. 86, Striesen-West, Dresden",7,"[Balkon/Terrasse, Einbauküche]",Herr Rudolf Hamann,True,,Wohnung,383 €,,51.04779,13.77698,Miete,01309,Dresden,Striesen-West,Großzügiges Appartement mit EBK und Balkon,"47,9 m²",1,False,9d2dad87-4bef-371f-af55-a1cd7d1232fe
59060762,"Wormser Straße 50b, Striesen-West, Dresden",15,"[Balkon/Terrasse, Garten]",Herr Steffen Hallmann,True,,Wohnung,,96.600 €,51.0465,13.78562,Kauf,01309,Dresden,Striesen-West,"**Striesen-eine gute Entscheidung**Etagenwohnung mit Süd-Balkon, Tageslichtbad zum fairen Preis*","61,21 m²",3,False,88fe3eac-769c-367c-a665-c30637a4308e
59359762,"Helmholzstraße 4, Südvorstadt-Ost, Dresden",17,"[Balkon/Terrasse, Einbauküche, Garten]",Herr Frank Meier,True,,Wohnung,,490.000 €,,,Kauf,01069,Dresden,Südvorstadt-Ost,großzügige Dachgeschoßwohnung in der Südvorstadt,"202,43 m²",5,False,bacd69b6-7389-3d24-8ed1-9ba674fafaf3
59845961,"Anton-Graff-Str. 14, Striesen-Süd, Dresden",5,"[Einbauküche, Garten]",Herr Christian  Kallenbrunnen,False,,Wohnung,499 €,,51.04412,13.77181,Miete,01309,Dresden,Striesen-Süd,Stilvolles Wohnen leicht gemacht - nahe dem Fetscherplatz!,"63,88 m²",2,True,5aaa4435-e652-35a0-bdd8-84f79039a013
59966227,"Leipziger Straße  48, Pieschen-Süd, Dresden",15,[Balkon/Terrasse],Frau Daniela Sura,False,,Wohnung,,81.500 €,51.07246,13.7261,Kauf,01127,Dresden,Pieschen-Süd,Eigentumswohnung in Elbnähe ideal für Senioren,"58,64 m²",2,False,0dc37248-1ba1-351c-b76c-fa2fa5bffcf5
60138282,"Leipziger Vorstadt, Dresden",11,"[Balkon/Terrasse, Einbauküche]",Frau Sabine Zille,True,,Wohnung,,220.000 €,,,Kauf,01097,Dresden,Leipziger Vorstadt,Tolle Galeriewohnung mit Balkon und EBK!,110 m²,4,False,06ca4433-b565-3d14-8b8d-c58ae49266da
60854290,"Meußlitzer Straße  53a, Kleinzschachwitz, Dresden",10,[Balkon/Terrasse], Herr André Ihle Frau Ines Löwe,True,,Wohnung,,126.000 €,51.01002,13.84873,Kauf,01259,Dresden,Kleinzschachwitz,ANLAGEIMMOBILIE! 3-ZIMMER-WOHNUNG MIT BALKON!,90 m²,3,False,f565fdaf-446d-31aa-ac7e-3a585aa452e3
60854360,"Meußlitzer Straße  53a, Kleinzschachwitz, Dresden",10,[Balkon/Terrasse], Herr André Ihle Frau Ines Löwe,True,,Wohnung,,149.500 €,51.01002,13.84873,Kauf,01259,Dresden,Kleinzschachwitz,ZU VERKAUFEN! GROßE HELLE WOHNUNG MIT BALKON!,90 m²,3,False,f565fdaf-446d-31aa-ac7e-3a585aa452e3
60890712,"Maxim-Gorki-Str. 78, Pieschen-Nord/Trachenberge, Dresden",10,"[Provisionsfrei*, Balkon/Terrasse, Einbauküche]",Herr Alexander Prill,False,,Wohnung,,129.000 €,51.08992,13.72502,Kauf,01129,Dresden,Pieschen-Nord/Trachenberge,hochwertige 2 ZW in denkmalgeschütztem Objekt,60 m²,2,True,f7448967-38e6-3719-8bc6-b84b276fcb13
61226130,"Straußstr. 1, Bühlau/Weißer Hirsch, Dresden",6,"[Balkon/Terrasse, Einbauküche]",Herr Maik Hauke,True,,Wohnung,348 €,,51.06181,13.8346,Miete,01324,Dresden,Bühlau/Weißer Hirsch,"1,5 - Zimmerwohnung mit EBK und herrschaftlichem Balkon","47,75 m²","1,5",False,f304dfc2-15b3-3a3c-86f1-5a4471c695a5
61564744,"An der Frauenkirche  18, Innere Altstadt, Dresden",10,[Balkon/Terrasse],Frau Gabriele Ahrens,False,,Wohnung,1.390 €,,51.05233,13.74269,Miete,01067,Dresden,Innere Altstadt,Wunderschöne 5-Zi-Whg. am Neumarkt,"128,57 m²",5,False,28d5d17f-e4c1-3f60-ba32-91e8b3a727c3
61619695,"Burgenlandstraße 35, Laubegast, Dresden",7,"[Balkon/Terrasse, Garten]", ImmPrima GmbH Katja Bärisch,False,,Wohnung,680 €,,51.02443,13.83192,Miete,01279,Dresden,Laubegast,sonnige 3-Zimmer-Wohnung mit Balkon und Wintergarten,74 m²,3,False,c6fc9057-4740-3d1e-a735-3cc63e644a0f
61620744,"Bautzner Str. 10, Innere Neustadt, Dresden",5,[],Herr Peter Rößner,False,600 m²,Haus,,1.100.000 €,51.06274,13.75086,Kauf,01099,Dresden,Innere Neustadt,"Wohn-und Geschäftshaus (Denkmal) m. romantischem Garten, komplett vermietet, gute Lage DD Neustadt ",677 m²,20,False,aebdf5df-9315-39b7-8071-57a0b078759f
61802080,"Einsteinstraße 8, Südvorstadt-Ost, Dresden",15,"[Balkon/Terrasse, Einbauküche, Garten]",Herr Maik Hauke,True,,Wohnung,,300.000 €,51.0302,13.73258,Kauf,01069,Dresden,Südvorstadt-Ost,"Exklusive 3-Zi. Gründerzeitwhg. mit Echtholzvertäfelung, Swarovskilüster im herrschaftlichen Charme",104 m²,3,False,f304dfc2-15b3-3a3c-86f1-5a4471c695a5
61973664,"Reißiger Str. 28, Johannstadt-Süd, Dresden",2,"[Balkon/Terrasse, Einbauküche]",Herr Markus Dangl,False,,Wohnung,"464,92 €",,51.04638,13.76968,Miete,01307,Dresden,Johannstadt-Süd,Schöne 2-Zi.-Whg.,"61,99 m²",2,False,db67f256-9116-33b6-a272-6ebff63e94dc
62013745,"Tzschimmerstraße 30, Striesen-Ost, Dresden",8,"[Balkon/Terrasse, Garten]", Herr André Ihle Frau Ines Löwe,True,,Wohnung,430 €,,51.04578,13.79419,Miete,01309,Dresden,Striesen-Ost,***Dachgeschosstraum mit Balkon zum Wohlfühlen im schönen Striesen***,"61,4 m²",2,False,f565fdaf-446d-31aa-ac7e-3a585aa452e3
62503454,"Schäferstraße 42-44, Friedrichstadt, Dresden",4,[Einbauküche],Firma Lenz & Saas Immobilienanlagen GmbH,True,,Wohnung,350 €,,51.05698,13.7138,Miete,01067,Dresden,Friedrichstadt,"Helle 2 Zimmer-Whg. mit EBK in Dresden-Friedrichstadt, nähe Klinikum und Amtsgericht!",55 m²,2,False,c4212226-c262-3835-8b6a-7f2cf9894ba6
62716748,"Hauptstr. 30, Bühlau/Weißer Hirsch, Dresden",14,"[Provisionsfrei*, Balkon/Terrasse]",Frau Nora Taschew,True,,Wohnung,,149.000 €,,,Kauf,01454,Dresden,Bühlau/Weißer Hirsch,Traumhaft sonnige Dachgeschosswohnung mit Blick ins Grüne,72 m²,2,False,99782221-6899-3ba0-ac7a-6a3e3e53a073
62851775,"Leipziger Vorstadt, Dresden",15,"[Balkon/Terrasse, Einbauküche, Garten]",Frau Sabine Socha,True,,Wohnung,,75.000 €,,,Kauf,01097,Dresden,Leipziger Vorstadt,Sonn. 2-RW/gr. Balk./EBK/Blick ins Grüne/san. Gründerzeithaus/Leipz. Vorst.                         ,"55,25 m²",2,False,e1b44548-d76b-39d6-a168-11eedfebe535
62851823,"Löbtau-Süd, Dresden",9,"[Balkon/Terrasse, Einbauküche, Garten]",Frau Sabine Socha,True,,Wohnung,,70.000 €,,,Kauf,01159,Dresden,Löbtau-Süd,Sonn. ruh. kl. 2-R-Sinkle-Wohn. m. großem West-Balkon u. EBK in DD-Löbtau ,"42,13 m²",2,False,e1b44548-d76b-39d6-a168-11eedfebe535
63029178,"Mickten, Dresden",11,[Einbauküche],Herr Frank  Schreiter,True,,Wohnung,350 €,,,,Miete,01139,Dresden,Mickten,Quadratisch - Praktisch - Ruhig,49 m²,2,False,2eeacf09-f598-3a9a-a91d-11b60d67faa8
63082107,"Loschwitz/Wachwitz, Dresden",10,"[Balkon/Terrasse, Garten]",Herr Frank Meier,True,,Wohnung,,549.000 €,,,Kauf,01324,Dresden,Loschwitz/Wachwitz,Blick über Dresden aus schicker Etagenwohnung,"162,75 m²",5,False,bacd69b6-7389-3d24-8ed1-9ba674fafaf3
63096620,"Äußere Neustadt (Antonstadt), Dresden",9,[],Herr Christoph Käsemodel,True,,Wohnung,,99.360 €,,,Kauf,01099,Dresden,Äußere Neustadt (Antonstadt),Unter 2000 EUR/m² - 2-Zimmer-ETW in der Dresdner-Neustadt zum Erstbezug,"50,55 m²",2,False,cda08f67-a92e-3dae-997a-9747dbfaac85
63268703,"Kleinzschachwitz, Dresden",3,"[Balkon/Terrasse, Einbauküche]",Frau Magda Uhlmann,True,,Wohnung,,86.700 €,,,Kauf,01259,Dresden,Kleinzschachwitz,++ruhige grüne Wohnanlage bietet geräumige helle 2-RW mit Tiefgarage++,58 m²,2,False,ed2f5f9f-97ea-3e0f-89c4-2ee101b713ca
63421490,"Cotta, Dresden",7,"[Balkon/Terrasse, Garten]",Herr Mathias Kunze,False,,Wohnung,318 €,,,,Miete,01157,Dresden,Cotta,*Schöne helle und freundliche Dachgeschoßwohnung   ist frei*,53 m²,2,False,978e44b0-0a6a-3bc3-8608-dadad8f3b166
63508561,"Dorfstr.  16, Niedersedlitz, Dresden",11,[Balkon/Terrasse],Frau Renate Boedecker,False,,Wohnung,1.241 €,,50.99848,13.82025,Miete,01257,Dresden,Niedersedlitz,Neubau-Reihenhäuser im Dreiseitenhof in DD-Niedersedlitz,146 m²,5,False,bf9bc17b-573e-3988-b2ae-e4a239abd83c
63609496,"Fritz-Reuter-Straße 61, Pieschen-Nord/Trachenberge, Dresden",8,[Balkon/Terrasse],Frau Sabine Arndt,False,,Wohnung,370 €,,51.07507,13.73465,Miete,01097,Dresden,Pieschen-Nord/Trachenberge,2 Zimmerwohnung mit Balkon,"46,38 m²",2,False,1178267a-f680-3976-bf75-ba20577c43ec
63770020,"Krainer Straße  17, Laubegast, Dresden",6,[], Herr André Ihle Frau Ines Löwe,True,,Wohnung,,82.000 €,51.01945,13.83024,Kauf,01279,Dresden,Laubegast,WOHNEN IM GRÜNEN! SCHÖNE 2-ZIMMER-WOHNUNG IN DER VILLACHER SIEDLUNG ZU VERKAUFEN,"63,12 m²",2,False,f565fdaf-446d-31aa-ac7e-3a585aa452e3
